date,industry,avg_hourly_earnings,industry_bucket,ai_intensity
2022-01-01,Construction,33.83,construction,0.17422506433209675
2022-01-01,Education & Health Services,31.27,education_health,0.17864450805090237
2022-01-01,Financial Activities,40.86,financial_activities,0.2130006324823501
2022-01-01,Information,45.09,information,0.2133762767701064
2022-01-01,Leisure & Hospitality,19.46,leisure_hospitality,0.1350758100192111
2022-01-01,Manufacturing,30.53,manufacturing,0.17588405404375607
2022-01-01,Mining & Logging,35.31,mining_logging,0.17104172422925196
2022-01-01,Professional & Business Services,37.88,professional_business_services,0.20060214745497643
2022-01-01,Retail Trade,22.57,trade_transportation_utilities,0.17537340296624615
2022-01-01,Total Private,31.6,total_private,0.17976056660886042
2022-02-01,Construction,33.96,construction,0.17422506433209675
2022-02-01,Education & Health Services,31.33,education_health,0.17864450805090237
2022-02-01,Financial Activities,40.77,financial_activities,0.2130006324823501
2022-02-01,Information,45.37,information,0.2133762767701064
2022-02-01,Leisure & Hospitality,19.53,leisure_hospitality,0.1350758100192111
2022-02-01,Manufacturing,30.48,manufacturing,0.17588405404375607
2022-02-01,Mining & Logging,35.58,mining_logging,0.17104172422925196
2022-02-01,Professional & Business Services,38.02,professional_business_services,0.20060214745497643
2022-02-01,Retail Trade,22.58,trade_transportation_utilities,0.17537340296624615
2022-02-01,Total Private,31.64,total_private,0.17976056660886042
2022-03-01,Construction,34.14,construction,0.17422506433209675
2022-03-01,Education & Health Services,31.41,education_health,0.17864450805090237
2022-03-01,Financial Activities,41.04,financial_activities,0.2130006324823501
2022-03-01,Information,45.44,information,0.2133762767701064
2022-03-01,Leisure & Hospitality,19.67,leisure_hospitality,0.1350758100192111
2022-03-01,Manufacturing,30.59,manufacturing,0.17588405404375607
2022-03-01,Mining & Logging,35.74,mining_logging,0.17104172422925196
2022-03-01,Professional & Business Services,38.25,professional_business_services,0.20060214745497643
2022-03-01,Retail Trade,22.79,trade_transportation_utilities,0.17537340296624615
2022-03-01,Total Private,31.8,total_private,0.17976056660886042
2022-04-01,Construction,34.32,construction,0.17422506433209675
2022-04-01,Education & Health Services,31.53,education_health,0.17864450805090237
2022-04-01,Financial Activities,41.19,financial_activities,0.2130006324823501
2022-04-01,Information,45.88,information,0.2133762767701064
2022-04-01,Leisure & Hospitality,19.84,leisure_hospitality,0.1350758100192111
2022-04-01,Manufacturing,30.78,manufacturing,0.17588405404375607
2022-04-01,Mining & Logging,35.04,mining_logging,0.17104172422925196
2022-04-01,Professional & Business Services,38.51,professional_business_services,0.20060214745497643
2022-04-01,Retail Trade,22.78,trade_transportation_utilities,0.17537340296624615
2022-04-01,Total Private,31.96,total_private,0.17976056660886042
2022-05-01,Construction,34.54,construction,0.17422506433209675
2022-05-01,Education & Health Services,31.66,education_health,0.17864450805090237
2022-05-01,Financial Activities,41.26,financial_activities,0.2130006324823501
2022-05-01,Information,46.24,information,0.2133762767701064
2022-05-01,Leisure & Hospitality,20.04,leisure_hospitality,0.1350758100192111
2022-05-01,Manufacturing,30.81,manufacturing,0.17588405404375607
2022-05-01,Mining & Logging,35.42,mining_logging,0.17104172422925196
2022-05-01,Professional & Business Services,38.64,professional_business_services,0.20060214745497643
2022-05-01,Retail Trade,22.84,trade_transportation_utilities,0.17537340296624615
2022-05-01,Total Private,32.1,total_private,0.17976056660886042
2022-06-01,Construction,34.71,construction,0.17422506433209675
2022-06-01,Education & Health Services,31.83,education_health,0.17864450805090237
2022-06-01,Financial Activities,41.47,financial_activities,0.2130006324823501
2022-06-01,Information,46.54,information,0.2133762767701064
2022-06-01,Leisure & Hospitality,20.07,leisure_hospitality,0.1350758100192111
2022-06-01,Manufacturing,30.81,manufacturing,0.17588405404375607
2022-06-01,Mining & Logging,35.84,mining_logging,0.17104172422925196
2022-06-01,Professional & Business Services,38.74,professional_business_services,0.20060214745497643
2022-06-01,Retail Trade,22.9,trade_transportation_utilities,0.17537340296624615
2022-06-01,Total Private,32.19,total_private,0.17976056660886042
2022-07-01,Construction,34.82,construction,0.17422506433209675
2022-07-01,Education & Health Services,32.02,education_health,0.17864450805090237
2022-07-01,Financial Activities,41.63,financial_activities,0.2130006324823501
2022-07-01,Information,46.7,information,0.2133762767701064
2022-07-01,Leisure & Hospitality,20.21,leisure_hospitality,0.1350758100192111
2022-07-01,Manufacturing,30.92,manufacturing,0.17588405404375607
2022-07-01,Mining & Logging,36.33,mining_logging,0.17104172422925196
2022-07-01,Professional & Business Services,38.92,professional_business_services,0.20060214745497643
2022-07-01,Retail Trade,23.09,trade_transportation_utilities,0.17537340296624615
2022-07-01,Total Private,32.34,total_private,0.17976056660886042
2022-08-01,Construction,34.93,construction,0.17422506433209675
2022-08-01,Education & Health Services,32.1,education_health,0.17864450805090237
2022-08-01,Financial Activities,41.69,financial_activities,0.2130006324823501
2022-08-01,Information,47.24,information,0.2133762767701064
2022-08-01,Leisure & Hospitality,20.33,leisure_hospitality,0.1350758100192111
2022-08-01,Manufacturing,31.03,manufacturing,0.17588405404375607
2022-08-01,Mining & Logging,36.26,mining_logging,0.17104172422925196
2022-08-01,Professional & Business Services,39.0,professional_business_services,0.20060214745497643
2022-08-01,Retail Trade,23.09,trade_transportation_utilities,0.17537340296624615
2022-08-01,Total Private,32.44,total_private,0.17976056660886042
2022-09-01,Construction,35.11,construction,0.17422506433209675
2022-09-01,Education & Health Services,32.11,education_health,0.17864450805090237
2022-09-01,Financial Activities,41.96,financial_activities,0.2130006324823501
2022-09-01,Information,47.88,information,0.2133762767701064
2022-09-01,Leisure & Hospitality,20.43,leisure_hospitality,0.1350758100192111
2022-09-01,Manufacturing,31.13,manufacturing,0.17588405404375607
2022-09-01,Mining & Logging,36.37,mining_logging,0.17104172422925196
2022-09-01,Professional & Business Services,39.08,professional_business_services,0.20060214745497643
2022-09-01,Retail Trade,23.16,trade_transportation_utilities,0.17537340296624615
2022-09-01,Total Private,32.57,total_private,0.17976056660886042
2022-10-01,Construction,35.27,construction,0.17422506433209675
2022-10-01,Education & Health Services,32.28,education_health,0.17864450805090237
2022-10-01,Financial Activities,42.03,financial_activities,0.2130006324823501
2022-10-01,Information,47.58,information,0.2133762767701064
2022-10-01,Leisure & Hospitality,20.51,leisure_hospitality,0.1350758100192111
2022-10-01,Manufacturing,31.3,manufacturing,0.17588405404375607
2022-10-01,Mining & Logging,36.36,mining_logging,0.17104172422925196
